state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served,admits,coverage,regime,admits_per100k,admits_next_week,admits_this_week,y_reg_next_admits,pct_change_next,y_surge_next_week,next_week_end,log10_conc_lag1,log10_conc_lag2,log10_conc_lag3,conc_delta_1w,conc_roll3
ak,2024-04-06,2.3979400086720375,2.3979400086720375,0.0,6,3,0.1666666666666666,"23,00023,00022,00012,00022,00012,000",6.0,0.9167,mandatory_pre,6.0,7.0,6.0,7.0,0.16666666666666666,0,2024-04-13,2.3979400086720375,,,0.0,2.3979400086720375
ak,2024-04-13,,,0.0,6,3,0.0,"12,00023,00023,00022,00022,00012,000",7.0,0.875,mandatory_pre,7.0,2.0,7.0,2.0,-0.7142857142857143,0,2024-04-20,2.3979400086720375,2.3979400086720375,,,2.3979400086720375
ak,2024-11-09,2.3979400086720375,2.3979400086720375,0.0,7,4,0.1428571428571428,"92,000220,00023,00092,00023,00022,00022,000",14.0,0.9583,mandatory_post,14.0,11.0,14.0,11.0,-0.21428571428571427,0,2024-11-16,2.3979400086720375,,,0.0,2.3979400086720375
ak,2024-11-16,2.3979400086720375,2.3979400086720375,0.0,8,5,0.125,"220,00022,00023,00012,00023,00092,00092,00022,000",11.0,0.9583,mandatory_post,11.0,10.0,11.0,10.0,-0.09090909090909091,0,2024-11-23,2.3979400086720375,2.3979400086720375,,0.0,2.3979400086720375
ak,2024-11-23,2.3979400086720375,2.3979400086720375,0.0,8,5,0.125,"22,00092,00022,000220,00023,00092,00023,00012,000",10.0,0.9583,mandatory_post,10.0,6.0,10.0,6.0,-0.4,0,2024-11-30,2.3979400086720375,2.3979400086720375,2.3979400086720375,0.0,2.3979400086720375
ak,2024-11-30,2.3979400086720375,2.3979400086720375,0.0,6,4,0.1666666666666666,"92,00092,00023,00023,00012,000220,000",6.0,0.9583,mandatory_post,6.0,18.0,6.0,18.0,2.0,1,2024-12-07,2.3979400086720375,2.3979400086720375,2.3979400086720375,0.0,2.3979400086720375
ak,2024-12-07,,,0.0,6,4,0.0,"92,000220,00023,00022,00023,00092,000",18.0,0.9583,mandatory_post,18.0,10.0,18.0,10.0,-0.4444444444444444,0,2024-12-14,2.3979400086720375,2.3979400086720375,2.3979400086720375,,2.3979400086720375
ak,2025-01-18,,,0.0,7,4,0.0,"92,000220,000220,00092,00023,00022,00023,000",8.0,0.9167,mandatory_post,8.0,9.0,8.0,9.0,0.125,0,2025-01-25,2.3979400086720375,,,,
ak,2025-03-29,,,0.0,8,3,0.0,"23,00092,00092,00023,000220,00023,000220,00023,000",12.0,0.9167,mandatory_post,12.0,9.0,12.0,9.0,-0.25,0,2025-04-05,2.3979400086720375,,,,
ak,2025-05-03,,,0.0,8,3,0.0,"23,00023,00023,00092,000220,00092,00023,000220,000",10.0,0.9167,mandatory_post,10.0,9.0,10.0,9.0,-0.1,0,2025-05-10,2.9231490818604837,,,,
ak,2025-10-04,,,0.0,11,5,0.0,"92,00022,00023,00023,00023,00012,000220,00022,00092,00023,000220,000",5.0,0.9167,mandatory_post,5.0,4.0,5.0,4.0,-0.2,0,2025-10-11,2.3979400086720375,,,,
ak,2025-10-18,,,0.0,12,5,0.0,"23,00012,00012,00092,00092,00022,00022,00023,00023,000220,000220,00023,000",5.0,0.875,mandatory_post,5.0,2.0,5.0,2.0,-0.6,0,2025-10-25,2.3979400086720375,,2.3979400086720375,,
ak,2025-11-22,2.3979400086720375,2.3979400086720375,0.0,14,5,0.0714285714285714,"12,00023,000220,000220,00023,00022,00012,00023,00022,00092,00092,00092,00092,00023,000",5.0,0.9167,mandatory_post,5.0,2.0,5.0,2.0,-0.6,0,2025-11-29,2.3979400086720375,,,0.0,2.3979400086720375
ak,2025-11-29,2.3979400086720375,2.3979400086720375,0.0,12,5,0.1666666666666666,"22,00092,00092,00022,00092,00012,00023,00023,00092,00023,00012,000220,000",2.0,0.9167,mandatory_post,2.0,5.0,2.0,5.0,1.5,0,2025-12-06,2.3979400086720375,2.3979400086720375,,0.0,2.3979400086720375
ak,2025-12-06,2.3979400086720375,2.3979400086720375,0.0,14,5,0.0714285714285714,"92,00092,00012,00092,00023,000220,000220,00012,00022,00022,00092,00023,00023,00023,000",5.0,0.9167,mandatory_post,5.0,9.0,5.0,9.0,0.8,0,2025-12-13,2.3979400086720375,2.3979400086720375,2.3979400086720375,0.0,2.3979400086720375
ak,2025-12-13,,,0.0,12,5,0.0,"23,000220,00022,00023,00023,000220,00092,00092,00092,00092,00012,00023,000",9.0,0.9167,mandatory_post,9.0,4.0,9.0,4.0,-0.5555555555555556,0,2025-12-20,2.3979400086720375,2.3979400086720375,2.3979400086720375,,2.3979400086720375
ak,2025-12-27,,,0.0,13,5,0.0,"220,00012,00092,00023,00023,00092,00023,00022,00092,00023,00012,000220,00092,000",8.0,0.9167,mandatory_post,8.0,9.0,8.0,9.0,0.125,0,2026-01-03,2.3979400086720375,,2.3979400086720375,,
ak,2026-01-10,,,0.0,14,5,0.0,"22,000220,00023,00092,00092,00022,000220,00092,00012,00023,00023,00012,00023,00092,000",11.0,0.875,mandatory_post,11.0,7.0,11.0,7.0,-0.36363636363636365,0,2026-01-17,2.3979400086720375,,2.3979400086720375,,
ak,2026-01-24,,,0.0,13,5,0.0,"23,00023,00092,00022,00092,00023,00022,00092,000220,00012,00023,00092,00012,000",3.0,0.875,mandatory_post,3.0,8.0,3.0,8.0,1.6666666666666667,0,2026-01-31,2.3979400086720375,,2.3979400086720375,,
ak,2026-02-07,2.3979400086720375,2.3979400086720375,0.0,14,5,0.0714285714285714,"22,00012,00092,00023,00023,000220,00022,00092,00092,000220,00023,00012,00092,00023,000",4.0,0.875,mandatory_post,4.0,5.0,4.0,5.0,0.25,0,2026-02-14,2.3979400086720375,,2.3979400086720375,0.0,2.3979400086720375
