state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served
ak,2022-06-11,,,0.0,4,2,0.0,"200,000200,00015,00015,000"
ak,2022-06-18,,,0.0,4,2,0.0,"15,000200,000200,00015,000"
ak,2022-06-25,,,0.0,4,2,0.0,"15,000200,00015,000200,000"
ak,2022-07-02,,,0.0,4,2,0.0,"15,00015,000200,000200,000"
ak,2022-07-09,,,0.0,3,2,0.0,"15,00015,000200,000"
ak,2022-07-16,,,0.0,3,2,0.0,"200,000200,00015,000"
ak,2022-07-23,,,0.0,4,2,0.0,"200,000200,00015,00015,000"
ak,2022-07-30,,,0.0,4,2,0.0,"200,00015,00015,000200,000"
ak,2022-08-06,,,0.0,3,2,0.0,"200,00015,000200,000"
ak,2022-08-13,,,0.0,3,2,0.0,"200,00015,000200,000"
ak,2022-08-20,,,0.0,4,2,0.0,"15,000200,00015,000200,000"
ak,2022-08-27,,,0.0,4,2,0.0,"200,000200,00015,00015,000"
ak,2022-09-03,,,0.0,8,4,0.0,"10,00020,000200,00020,00010,00015,000200,00015,000"
ak,2022-09-10,,,0.0,8,4,0.0,"10,000200,00020,00010,00015,00020,000200,00015,000"
ak,2022-09-17,,,0.0,8,4,0.0,"10,000200,00010,00020,00015,00015,000200,00020,000"
ak,2022-10-01,,,0.0,8,4,0.0,"15,00020,000200,00020,00010,000200,00015,00010,000"
ak,2022-10-08,,,0.0,7,4,0.0,"20,00015,000200,00010,00015,000200,00010,000"
ak,2022-10-15,,,0.0,7,4,0.0,"200,000200,00020,00010,00020,00015,00010,000"
ak,2022-10-22,,,0.0,8,4,0.0,"10,00010,000200,00020,000200,00015,00015,00020,000"
ak,2022-10-29,,,0.0,7,4,0.0,"15,00020,00010,00015,000200,00010,000200,000"
ak,2022-11-05,,,0.0,7,4,0.0,"200,00010,00015,00015,00020,000200,00020,000"
ak,2022-11-12,,,0.0,8,4,0.0,"15,00020,000200,000200,00010,00015,00020,00010,000"
ak,2022-11-19,,,0.0,8,4,0.0,"15,00020,00015,000200,00010,00010,00020,000200,000"
ak,2022-11-26,,,0.0,4,4,0.0,"15,00020,00010,000200,000"
ak,2022-12-03,,,0.0,7,4,0.0,"15,000200,00015,000200,00020,00020,00010,000"
ak,2022-12-10,,,0.0,8,4,0.0,"10,00015,000200,000200,00015,00020,00020,00010,000"
ak,2022-12-17,,,0.0,6,4,0.0,"20,00015,000200,00010,00020,000200,000"
ak,2022-12-24,,,0.0,4,4,0.0,"10,000200,00015,00020,000"
ak,2022-12-31,,,0.0,3,3,0.0,"15,000200,00020,000"
ak,2023-01-07,,,0.0,8,4,0.0,"200,00010,00010,00020,00015,00015,000200,00020,000"
ak,2023-01-14,,,0.0,8,4,0.0,"15,00020,00010,00015,000200,00020,00010,000200,000"
ak,2023-01-21,,,0.0,8,4,0.0,"200,00015,00020,00015,000200,00010,00020,00010,000"
ak,2023-01-28,,,0.0,8,4,0.0,"200,00010,00020,000200,00015,00015,00010,00020,000"
ak,2023-02-04,,,0.0,7,4,0.0,"20,000200,000200,00015,00010,00020,00015,000"
ak,2023-02-11,,,0.0,6,3,0.0,"15,00020,000200,00020,000200,00015,000"
ak,2023-02-18,,,0.0,7,4,0.0,"15,00020,000200,00010,00015,000200,00020,000"
ak,2023-02-25,,,0.0,7,4,0.0,"15,00010,000200,00020,00020,00015,000200,000"
ak,2023-03-04,,,0.0,7,4,0.0,"15,00020,000200,00015,00020,000200,00010,000"
ak,2023-03-11,,,0.0,7,4,0.0,"200,00015,00020,00015,000200,00020,00010,000"
ak,2023-03-18,,,0.0,7,4,0.0,"20,00015,00015,00020,000200,00010,000200,000"
ak,2023-03-25,,,0.0,7,4,0.0,"200,00020,00020,000200,00015,00015,00010,000"
ak,2023-04-01,,,0.0,6,4,0.0,"15,00020,000200,00020,00010,000200,000"
ak,2023-04-08,,,0.0,7,4,0.0,"15,00020,000200,00015,00020,00010,000200,000"
ak,2023-04-15,,,0.0,6,4,0.0,"20,00020,000200,00015,00010,000200,000"
ak,2023-04-22,,,0.0,7,4,0.0,"20,00015,000200,00010,00015,000200,00020,000"
ak,2023-04-29,,,0.0,7,4,0.0,"20,00015,000200,00010,000200,00020,00015,000"
ak,2023-05-06,,,0.0,7,4,0.0,"10,00015,000200,00015,00020,000200,00020,000"
ak,2023-05-13,,,0.0,6,3,0.0,"15,000200,00020,00015,00020,000200,000"
ak,2023-05-20,,,0.0,7,4,0.0,"200,00015,000200,00020,00020,00015,00010,000"
ak,2023-05-27,,,0.0,7,4,0.0,"10,000200,000200,00020,00015,00020,00015,000"
ak,2023-06-03,,,0.0,6,4,0.0,"15,00010,00020,00020,00015,000200,000"
ak,2023-06-10,,,0.0,7,4,0.0,"20,00010,00015,00015,000200,00020,000200,000"
ak,2023-06-17,,,0.0,7,4,0.0,"200,00010,00015,00015,00020,000200,00020,000"
ak,2023-06-24,,,0.0,7,4,0.0,"15,000200,00020,000200,00020,00010,00015,000"
ak,2023-07-01,,,0.0,7,4,0.0,"200,00015,000200,00020,00010,00015,00020,000"
ak,2023-07-08,,,0.0,6,4,0.0,"200,00015,000200,00010,00015,00020,000"
ak,2023-07-15,,,0.0,7,4,0.0,"20,000200,000200,00020,00015,00015,00010,000"
ak,2023-07-22,,,0.0,7,4,0.0,"15,000200,00010,00015,00020,000200,00020,000"
ak,2023-07-29,,,0.0,5,3,0.0,"10,00020,00020,00015,00015,000"
ak,2023-08-05,,,0.0,6,3,0.0,"20,000200,00015,000200,00015,00020,000"
ak,2023-08-12,,,0.0,5,3,0.0,"15,000200,00020,00020,00015,000"
ak,2023-08-19,,,0.0,6,4,0.0,"200,00020,00010,00015,00020,00015,000"
ak,2023-08-26,,,0.0,7,4,0.0,"15,00015,00010,00020,000200,00020,000200,000"
ak,2023-09-02,,,0.0,7,4,0.0,"10,000200,00015,00020,00010,00015,000200,000"
ak,2023-09-09,,,0.0,6,4,0.0,"200,00020,00015,000200,00010,00020,000"
ak,2023-09-16,,,0.0,7,4,0.0,"15,000200,00020,00020,00015,00010,000200,000"
ak,2024-01-27,,,0.0,3,2,0.0,"22,00023,00023,000"
ak,2024-02-03,,,0.0,3,2,0.0,"22,00023,00023,000"
ak,2024-02-10,,,0.0,5,3,0.0,"22,00012,00012,00022,00023,000"
ak,2024-02-17,,,0.0,6,3,0.0,"22,00022,00023,00012,00023,00012,000"
ak,2024-02-24,,,0.0,6,3,0.0,"12,00012,00022,00023,00023,00022,000"
ak,2024-03-02,,,0.0,6,3,0.0,"23,00022,00023,00012,00012,00022,000"
ak,2024-03-09,,,0.0,6,3,0.0,"23,00022,00012,00022,00012,00023,000"
ak,2024-03-16,,,0.0,5,3,0.0,"22,00022,00012,00023,00012,000"
ak,2024-03-23,,,0.0,6,3,0.0,"23,00022,00022,00023,00022,00012,000"
ak,2024-03-30,2.3979400086720375,2.3979400086720375,0.0,5,3,0.2,"12,00023,00012,00023,00022,000"
ak,2024-04-06,2.3979400086720375,2.3979400086720375,0.0,6,3,0.16666666666666666,"23,00023,00022,00012,00022,00012,000"
ak,2024-04-13,,,0.0,6,3,0.0,"12,00023,00023,00022,00022,00012,000"
ak,2024-04-20,,,0.0,7,3,0.0,"12,00022,00022,00023,00022,00012,00023,000"
ak,2024-04-27,,,0.0,6,3,0.0,"12,00022,00023,00022,00023,00012,000"
ak,2024-05-04,,,0.0,4,2,0.0,"22,00023,00023,00022,000"
ak,2024-05-11,,,0.0,4,2,0.0,"22,00023,00023,00022,000"
ak,2024-05-18,,,0.0,4,2,0.0,"23,00022,00022,00023,000"
ak,2024-05-25,,,0.0,4,2,0.0,"23,00022,00022,00023,000"
ak,2024-06-01,,,0.0,4,2,0.0,"22,00022,00023,00022,000"
ak,2024-06-08,,,0.0,4,2,0.0,"22,00023,00022,00023,000"
ak,2024-06-15,,,0.0,3,2,0.0,"23,00022,00022,000"
ak,2024-06-22,,,0.0,4,2,0.0,"22,00023,00022,00023,000"
ak,2024-06-29,,,0.0,4,2,0.0,"23,00022,00022,00023,000"
ak,2024-07-06,,,0.0,3,2,0.0,"23,00022,00023,000"
ak,2024-07-13,,,0.0,4,2,0.0,"23,00022,00022,00023,000"
ak,2024-07-20,,,0.0,5,3,0.0,"12,00023,00022,00023,00022,000"
ak,2024-07-27,,,0.0,5,3,0.0,"23,00022,00012,00022,00023,000"
ak,2024-08-03,,,0.0,4,2,0.0,"23,00023,00022,00022,000"
ak,2024-08-10,,,0.0,6,4,0.0,"23,00022,000220,00012,00022,00023,000"
ak,2024-08-17,,,0.0,4,3,0.0,"22,00023,00023,00012,000"
ak,2024-08-24,,,0.0,9,5,0.0,"22,00092,00092,00022,00023,000220,00012,00023,00012,000"
ak,2024-08-31,,,0.0,7,4,0.0,"12,00092,00023,00023,00022,00092,00012,000"
ak,2024-09-07,,,0.0,8,4,0.0,"22,00022,00012,00023,00012,00092,00092,00023,000"
