state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served,admits,coverage,regime,admits_per100k,admits_next_week,admits_this_week,y_reg_next_admits,pct_change_next,y_surge_next_week,next_week_end,log10_conc_lag1,log10_conc_lag2,log10_conc_lag3,conc_delta_1w,conc_roll3,split_era
ak,2022-06-18,6.458928322078762,6.454787602568075,1.7226575848733268,4,2,0.0,430000,68.0,0.9167,mandatory_pre,15.813953488372094,99.0,68.0,99.0,0.45588235294117646,1,2022-06-25,6.5883420702553455,,,-0.12941374817658335,6.523635196167054,train
ak,2022-06-25,6.473784791424572,6.48281909043455,1.738137359866646,4,2,0.0,430000,99.0,0.9167,mandatory_pre,23.02325581395349,101.0,99.0,101.0,0.020202020202020204,0,2022-07-02,6.458928322078762,6.5883420702553455,,0.014856469345810197,6.507018394586226,train
ak,2022-07-02,6.604213945879582,6.587313767332503,1.8702260815922371,4,2,0.0,430000,101.0,0.9167,mandatory_pre,23.48837209302326,94.0,101.0,94.0,-0.06930693069306931,0,2022-07-09,6.473784791424572,6.458928322078762,6.5883420702553455,0.13042915445501002,6.512309019794306,train
ak,2022-07-09,6.608041008416798,6.64113767325799,1.8686689990797325,3,2,0.0,230000,94.0,0.9167,mandatory_pre,40.869565217391305,102.0,94.0,102.0,0.0851063829787234,0,2022-07-16,6.604213945879582,6.473784791424572,6.458928322078762,0.003827062537215653,6.562013248573652,train
ak,2022-07-16,6.550856275716948,6.563123558849558,1.819769972642202,3,2,0.0,415000,102.0,0.9167,mandatory_pre,24.578313253012045,109.0,102.0,109.0,0.06862745098039216,0,2022-07-23,6.608041008416798,6.604213945879582,6.473784791424572,-0.05718473269984958,6.5877037433377765,train
ak,2022-07-23,6.596158464829588,6.531567003459247,1.8607440006365796,4,2,0.0,430000,109.0,0.9167,mandatory_pre,25.348837209302328,131.0,109.0,131.0,0.2018348623853211,1,2022-07-30,6.550856275716948,6.608041008416798,6.604213945879582,0.045302189112639724,6.585018582987779,train
ak,2022-07-30,6.595420587215549,6.6038785764506605,1.861107423975928,4,2,0.0,430000,131.0,0.9167,mandatory_pre,30.46511627906977,108.0,131.0,108.0,-0.17557251908396945,0,2022-08-06,6.596158464829588,6.550856275716948,6.608041008416798,-0.0007378776140392063,6.5808117759206946,train
ak,2022-08-06,6.453515323569985,6.485390357953432,1.7218697955057038,3,2,0.0,415000,108.0,0.9167,mandatory_pre,26.024096385542165,109.0,108.0,109.0,0.009259259259259259,0,2022-08-13,6.595420587215549,6.596158464829588,6.550856275716948,-0.14190526364556355,6.548364791871708,train
ak,2022-08-13,6.33044038961852,6.347302516434444,1.5950612437684848,3,2,0.0,415000,109.0,0.9167,mandatory_pre,26.26506024096385,88.0,109.0,88.0,-0.1926605504587156,0,2022-08-20,6.453515323569985,6.595420587215549,6.596158464829588,-0.1230749339514654,6.459792100134685,train
ak,2022-08-20,6.354284180644365,6.33172672378946,1.616843230747014,4,2,0.0,430000,88.0,0.9167,mandatory_pre,20.46511627906977,91.0,88.0,91.0,0.03409090909090909,0,2022-08-27,6.33044038961852,6.453515323569985,6.595420587215549,0.023843791025845107,6.379413297944289,train
ak,2022-08-27,6.449044158066027,6.470135386341141,1.7102162960150415,4,2,0.0,430000,91.0,0.9167,mandatory_pre,21.16279069767442,75.0,91.0,75.0,-0.17582417582417584,0,2022-09-03,6.354284180644365,6.33044038961852,6.453515323569985,0.09475997742166165,6.37792290944297,train
ak,2022-09-03,6.157482811195285,6.2008754462887605,1.3605064984895137,8,4,0.0,490000,75.0,0.9167,mandatory_pre,15.306122448979592,69.0,75.0,69.0,-0.08,0,2022-09-10,6.449044158066027,6.354284180644365,6.33044038961852,-0.29156134687074164,6.320270383301892,train
ak,2022-09-10,6.273500743079979,6.292603004406409,1.4794618712264973,8,4,0.0,490000,69.0,0.9167,mandatory_pre,14.081632653061224,53.0,69.0,53.0,-0.2318840579710145,0,2022-09-17,6.157482811195285,6.449044158066027,6.354284180644365,0.11601793188469411,6.293342570780431,train
ak,2022-10-01,5.9504906501990895,5.929911862590418,1.1467717668992177,8,4,0.0,490000,44.0,0.9167,mandatory_pre,8.979591836734693,32.0,44.0,32.0,-0.2727272727272727,0,2022-10-08,6.272728898238954,6.273500743079979,6.157482811195285,-0.32223824803986467,6.165573430506008,train
ak,2022-10-08,5.919034095537232,5.943449589923842,1.122526775705341,7,4,0.0,470000,32.0,0.9167,mandatory_pre,6.808510638297872,40.0,32.0,40.0,0.25,1,2022-10-15,5.9504906501990895,6.272728898238954,6.273500743079979,-0.03145655466185726,6.047417881325092,train
ak,2022-10-15,5.821081349672645,5.93793341607292,0.9962045900565398,7,4,0.0,475000,40.0,0.9167,mandatory_pre,8.421052631578947,39.0,40.0,39.0,-0.025,0,2022-10-22,5.919034095537232,5.9504906501990895,6.272728898238954,-0.09795274586458724,5.896868698469656,train
ak,2022-10-22,5.756598425296829,5.8706848874479025,0.9288342768290636,8,4,0.0,490000,39.0,0.9167,mandatory_pre,7.959183673469387,31.0,39.0,31.0,-0.20512820512820512,0,2022-10-29,5.821081349672645,5.919034095537232,5.9504906501990895,-0.06448292437581582,5.832237956835569,train
