state_territory,week_end,admits_next_week,y_reg_next_admits,pct_change_next,y_surge_next_week,next_week_end
ak,2024-04-06,7.0,7.0,0.1666666666666666,0,2024-04-13
ak,2024-04-13,2.0,2.0,-0.7142857142857143,0,2024-04-20
ak,2024-11-09,11.0,11.0,-0.2142857142857142,0,2024-11-16
ak,2024-11-16,10.0,10.0,-0.0909090909090909,0,2024-11-23
ak,2024-11-23,6.0,6.0,-0.4,0,2024-11-30
ak,2024-11-30,18.0,18.0,2.0,1,2024-12-07
ak,2024-12-07,10.0,10.0,-0.4444444444444444,0,2024-12-14
ak,2025-01-18,9.0,9.0,0.125,0,2025-01-25
ak,2025-03-29,9.0,9.0,-0.25,0,2025-04-05
ak,2025-05-03,9.0,9.0,-0.1,0,2025-05-10
ak,2025-10-04,4.0,4.0,-0.2,0,2025-10-11
ak,2025-10-18,2.0,2.0,-0.6,0,2025-10-25
ak,2025-11-22,2.0,2.0,-0.6,0,2025-11-29
ak,2025-11-29,5.0,5.0,1.5,0,2025-12-06
ak,2025-12-06,9.0,9.0,0.8,0,2025-12-13
ak,2025-12-13,4.0,4.0,-0.5555555555555556,0,2025-12-20
ak,2025-12-27,9.0,9.0,0.125,0,2026-01-03
ak,2026-01-10,7.0,7.0,-0.3636363636363636,0,2026-01-17
ak,2026-01-24,8.0,8.0,1.6666666666666667,0,2026-01-31
ak,2026-02-07,5.0,5.0,0.25,0,2026-02-14
ak,2026-02-14,9.0,9.0,0.8,0,2026-02-21
ak,2026-03-21,5.0,5.0,-0.4444444444444444,0,2026-03-28
ak,2026-04-04,6.0,6.0,0.2,0,2026-04-11
ak,2026-04-11,2.0,2.0,-0.6666666666666666,0,2026-04-18
ak,2026-04-25,4.0,4.0,0.3333333333333333,0,2026-05-02
ak,2026-05-09,1.0,1.0,-0.5,0,2026-05-16
ak,2026-05-16,1.0,1.0,0.0,0,2026-05-23
ak,2026-05-23,0.0,0.0,-1.0,0,2026-05-30
ak,2026-05-30,1.0,1.0,,0,2026-06-06
ak,2026-06-06,0.0,0.0,-1.0,0,2026-06-13
ak,2026-06-13,2.0,2.0,,0,2026-06-20
ak,2026-06-20,2.0,2.0,0.0,0,2026-06-27
ak,2026-06-27,1.0,1.0,-0.5,0,2026-07-04
al,2023-02-11,459.0,459.0,-0.0764587525150905,0,2023-02-18
