state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served
ak,2022-06-11,6.5883420702553455,6.570859355701371,1.854068114843079,4,2,0.0,430000
ak,2022-06-18,6.458928322078762,6.454787602568075,1.7226575848733268,4,2,0.0,430000
ak,2022-06-25,6.473784791424572,6.48281909043455,1.738137359866646,4,2,0.0,430000
ak,2022-07-02,6.604213945879582,6.587313767332503,1.8702260815922371,4,2,0.0,430000
ak,2022-07-09,6.608041008416798,6.64113767325799,1.8686689990797323,3,2,0.0,230000
ak,2022-07-16,6.550856275716948,6.563123558849558,1.819769972642202,3,2,0.0,415000
ak,2022-07-23,6.596158464829588,6.531567003459247,1.8607440006365796,4,2,0.0,430000
ak,2022-07-30,6.595420587215549,6.6038785764506605,1.8611074239759282,4,2,0.0,430000
ak,2022-08-06,6.453515323569985,6.485390357953432,1.7218697955057038,3,2,0.0,415000
ak,2022-08-13,6.33044038961852,6.347302516434444,1.5950612437684848,3,2,0.0,415000
ak,2022-08-20,6.354284180644365,6.33172672378946,1.616843230747014,4,2,0.0,430000
ak,2022-08-27,6.449044158066027,6.470135386341141,1.7102162960150415,4,2,0.0,430000
ak,2022-09-03,6.157482811195285,6.2008754462887605,1.3605064984895137,8,4,0.0,490000
ak,2022-09-10,6.273500743079979,6.292603004406409,1.4794618712264973,8,4,0.0,490000
ak,2022-09-17,6.272728898238954,6.318681367983039,1.4852088197393318,8,4,0.0,490000
ak,2022-10-01,5.9504906501990895,5.929911862590418,1.1467717668992177,8,4,0.0,490000
ak,2022-10-08,5.919034095537232,5.943449589923842,1.122526775705341,7,4,0.0,470000
ak,2022-10-15,5.821081349672645,5.93793341607292,0.9962045900565398,7,4,0.0,475000
ak,2022-10-22,5.756598425296829,5.8706848874479025,0.9288342768290635,8,4,0.0,490000
ak,2022-10-29,5.724535712071954,5.723743711394008,0.9276970150241207,7,4,0.0,470000
ak,2022-11-05,5.70600052532141,5.754555536923872,0.8919506022302697,7,4,0.0,480000
ak,2022-11-12,5.955676661879548,5.979921669471764,1.1509062957824745,8,4,0.0,490000
ak,2022-11-19,5.980774199476422,5.942348838602729,1.1711738209680684,8,4,0.0,490000
ak,2022-11-26,5.852092755361374,5.87535112457738,1.0356227320313323,4,4,0.0,245000
ak,2022-12-03,5.902502309869027,5.911027931286136,1.0823708909917507,7,4,0.0,480000
ak,2022-12-10,5.938226017079264,5.925794762502323,1.1244569005566538,8,4,0.0,490000
ak,2022-12-17,5.848691197397304,5.80781775042381,1.0254105879703144,6,4,0.0,465000
ak,2022-12-24,5.839065721755988,5.880426297803748,1.0360984322680165,4,4,0.0,245000
ak,2022-12-31,6.086018890077498,6.126140429731948,1.2932463461803825,3,3,0.0,235000
ak,2023-01-07,5.947401497958672,6.026487992992976,1.1299742037087899,8,4,0.0,490000
ak,2023-01-14,5.836744363385443,5.778125009306997,1.0323586550320678,8,4,0.0,490000
ak,2023-01-21,5.9531490377602605,6.009887355065727,1.134142312572115,8,4,0.0,490000
ak,2023-01-28,6.048305564310074,6.0784965897804275,1.2383704638793054,8,4,0.0,490000
ak,2023-02-04,6.124318681252376,6.260028442565722,1.3159057782731547,7,4,0.0,480000
ak,2023-02-11,6.442551139483222,6.389856115080967,1.671630949185247,6,3,0.0,470000
ak,2023-02-18,6.18140751448192,6.246195192327789,1.3880501577067232,7,4,0.0,480000
ak,2023-02-25,6.196158124913474,6.17916703032783,1.4113985217859606,7,4,0.0,480000
ak,2023-03-04,6.14057493433308,6.174917930353961,1.3462988021388582,7,4,0.0,480000
ak,2023-03-11,6.068146907672288,6.148701032991244,1.27518181006787,7,4,0.0,480000
ak,2023-03-18,6.053476518903927,6.134194335454818,1.2511374551334045,7,4,0.0,480000
ak,2023-03-25,6.305238952614537,6.342487446579001,1.5220651235699252,7,4,0.0,480000
ak,2023-04-01,5.980550418604072,5.940879762181256,1.1767967253943414,6,4,0.0,465000
ak,2023-04-08,5.802140609892055,5.841537665625475,1.0007016806831595,7,4,0.0,480000
ak,2023-04-15,5.981009934145131,5.981302326226382,1.1800448035500832,6,4,0.0,465000
ak,2023-04-22,5.624935907504083,5.680408399592211,0.8119740114556387,7,4,0.0,480000
ak,2023-04-29,5.636792230079217,5.631734982628857,0.8123066383898259,7,4,0.0,480000
ak,2023-05-06,5.759511585635478,5.784518335769813,0.958298232772228,7,4,0.0,480000
ak,2023-05-13,5.700045056314983,5.788464279866867,0.8984700518778069,6,3,0.0,470000
ak,2023-05-20,5.600580667487841,5.504471656878788,0.7926530378312939,7,4,0.0,480000
ak,2023-05-27,5.862301756968358,5.814531768208329,1.050428349573681,7,4,0.0,480000
ak,2023-06-03,5.85517585661236,5.827894368496112,1.0364912248108842,6,4,0.0,280000
ak,2023-06-10,5.9802337783515975,6.065801997138289,1.180178672097357,7,4,0.0,480000
ak,2023-06-17,5.982143313909161,6.026829318204091,1.1854245753239128,7,4,0.0,480000
ak,2023-06-24,5.9247050273441255,6.041521617015791,1.1292402997599906,7,4,0.0,480000
ak,2023-07-01,5.8625526289967445,6.0140477045354395,1.0563823297574273,7,4,0.0,480000
ak,2023-07-08,5.773861299791656,5.695992084739345,0.9768074578298243,6,4,0.0,460000
ak,2023-07-15,6.195658803829497,6.115585578292087,1.4060363538024963,7,4,0.0,480000
ak,2023-07-22,5.6159068808089305,5.840590917804831,0.8183262357606077,7,4,0.0,480000
ak,2023-07-29,5.770618975300218,5.7819000622072,0.9369847574733379,5,3,0.0,80000
ak,2023-08-05,5.682919580909819,5.727096218765361,0.864528588771203,6,3,0.0,470000
ak,2023-08-12,6.096943381658329,5.993948716726177,1.2921703301232441,5,3,0.0,270000
ak,2023-08-19,5.8434803933075505,5.8788365324761465,1.0237248782704325,6,4,0.0,280000
ak,2023-08-26,5.684033916632599,5.657248529137741,0.8637518326394705,7,4,0.0,480000
ak,2023-09-02,5.913415247155134,5.864677916998785,1.119162475888783,7,4,0.0,470000
ak,2023-09-09,6.071173013878007,6.055650476180583,1.2540882245307894,6,4,0.0,465000
ak,2023-09-16,5.6947701072122765,5.707451979903218,0.8733517646780885,7,4,0.0,480000
ak,2024-01-27,5.638383959521055,5.596912502044002,0.8198892480452948,3,2,0.0,68000
ak,2024-02-03,5.134860889078255,5.675557248599828,0.2527337509572592,3,2,0.0,68000
ak,2024-02-10,5.314604559229275,5.6003823301268385,0.4290340258355328,5,3,0.0,91000
ak,2024-02-17,5.315107886689948,5.245157350221147,0.4624160173351888,6,3,0.0,114000
ak,2024-02-24,5.064702713742489,5.0541594155506555,0.20104785219000432,6,3,0.0,114000
ak,2024-03-02,4.98924472811296,5.049305545060571,0.13004867047800087,6,3,0.0,114000
ak,2024-03-09,4.843711722305009,4.898793205466152,0.006257998451272395,6,3,0.0,114000
ak,2024-03-16,4.430307415755842,4.454901538444671,-0.44276111572681953,5,3,0.0,91000
ak,2024-03-23,4.551683076779683,4.74528046633341,-0.3554939720337286,6,3,0.0,124000
ak,2024-03-30,4.178584742542031,4.553487552527059,-0.6604553516612054,5,3,0.2,92000
ak,2024-04-06,3.9538674743293143,4.1940282897640575,-0.9492570075616644,6,3,0.16666666666666666,114000
ak,2024-04-13,4.71090518540542,4.629285670034473,-0.1596052718581136,6,3,0.0,114000
ak,2024-04-20,4.431701106695984,4.479546477361634,-0.4748372239268219,7,3,0.0,136000
ak,2024-04-27,4.66806296644746,4.636901389630942,-0.20550230365030564,6,3,0.0,114000
ak,2024-05-04,4.010660993919197,4.103669466167063,-0.9127466330534867,4,2,0.0,90000
ak,2024-05-11,4.759217217388855,4.72945722122321,-0.15809738125045117,4,2,0.0,90000
ak,2024-05-18,4.9095327680838,4.983952885231051,0.02500999162719046,4,2,0.0,90000
ak,2024-05-25,4.791062151155077,4.717588442438874,-0.08719881846882727,4,2,0.0,90000
ak,2024-06-01,5.291495745973801,5.444378807858916,0.392648703163205,4,2,0.0,89000
ak,2024-06-08,5.025313267288599,5.046157494040255,0.1735429896209713,4,2,0.0,90000
ak,2024-06-15,5.317046110889419,5.2284842886274925,0.42324076654579296,3,2,0.0,67000
ak,2024-06-22,5.21165022560267,5.190657459511641,0.3670885150180625,4,2,0.0,90000
ak,2024-06-29,5.36344648164687,5.402963669947541,0.5197206303930487,4,2,0.0,90000
ak,2024-07-06,5.121200024285618,5.166643731104755,0.29113045284267813,3,2,0.0,68000
ak,2024-07-13,5.622743518443044,5.6389894378147645,0.776881948566362,4,2,0.0,90000
ak,2024-07-20,5.086795113064482,5.0837174646551615,0.22879591342956349,5,3,0.0,102000
ak,2024-07-27,5.284053947550322,5.423313196392352,0.4368558598839167,5,3,0.0,102000
ak,2024-08-03,5.384501757828282,5.532187811710083,0.5365845242025635,4,2,0.0,90000
ak,2024-08-10,5.339727726297674,5.253423471933617,0.5046585007822745,6,4,0.0,322000
ak,2024-08-17,5.463490397176766,5.476501194761507,0.6427292364609517,4,3,0.0,80000
ak,2024-08-24,5.0155002401633055,4.899960720915843,0.4114273393827687,9,5,0.0,518000
ak,2024-08-31,5.211431436022443,5.268161740743248,0.7750037555484033,7,4,0.0,276000
ak,2024-09-07,5.094842874581739,5.026312470914898,0.5236454661851376,8,4,0.0,298000
ak,2024-09-14,5.221358119198036,5.112447492501723,0.8220739544981626,7,4,0.0,494000
ak,2024-09-21,4.797302016290893,4.720247041798764,0.1525413916412285,7,4,0.0,494000
ak,2024-09-28,4.59333856004257,4.737895998517695,-0.07174594869872807,8,5,0.0,506000
ak,2024-10-05,4.468235914173743,4.747965000906911,-0.1582903103748148,8,5,0.0,506000
ak,2024-10-12,4.4208612266772755,4.433377062475511,-0.31800565246997603,7,5,0.0,483000
ak,2024-10-19,4.515652794892008,4.695340209430566,-0.19907233876784464,7,5,0.0,484000
ak,2024-10-26,4.221219875709168,4.385519544771098,-0.4844830023939961,8,5,0.0,506000
ak,2024-11-02,4.355804780343135,4.329143800622525,-0.4052810133709114,8,5,0.125,506000
ak,2024-11-09,4.234102696044365,4.5079798487146165,-0.5412173979111163,7,4,0.14285714285714285,494000
ak,2024-11-16,4.150443715953862,4.464153224653576,-0.6137716238629014,8,5,0.125,506000
ak,2024-11-23,3.86526922318878,3.7259544027077345,-1.070805284609961,8,5,0.125,506000
ak,2024-11-30,4.28816367218126,4.5966981520884165,-0.3257784771082924,6,4,0.16666666666666666,462000
ak,2024-12-07,4.509963218389728,4.580510739132914,-0.12120298528505062,6,4,0.0,472000
ak,2024-12-14,4.448995864100466,4.418742986500455,-0.2886889010030593,6,4,0.0,472000
ak,2024-12-21,4.31728981278156,4.364832067683295,-0.304441096798524,6,4,0.0,462000
ak,2024-12-28,4.502726509174939,4.545887328649975,-0.08806504528660762,6,4,0.0,462000
ak,2025-01-04,4.460996847845324,4.359808340741743,-0.16632356048232164,5,3,0.0,450000
